home,score,away,year,HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
France ,4–1, Mexico,1930.0,,,,,,
Uruguay ,4–2, Argentina,1930.0,,,,,,
Uruguay ,6–1,Yugoslavia,1930.0,,,,,,
Argentina ,6–1, United States,1930.0,,,,,,
Paraguay ,1–0, Belgium,1930.0,,,,,,
United States ,3–0, Paraguay,1930.0,,,,,,
Uruguay ,4–0, Romania,1930.0,,,,,,
Uruguay ,1–0, Peru,1930.0,,,,,,
Romania ,3–1, Peru,1930.0,,,,,,
United States ,3–0, Belgium,1930.0,,,,,,
Yugoslavia ,4–0, Bolivia,1930.0,,,,,,
Yugoslavia ,2–1, Brazil,1930.0,,,,,,
Argentina ,3–1, Chile,1930.0,,,,,,
Argentina ,6–3, Mexico,1930.0,,,,,,
Chile ,1–0, France,1930.0,,,,,,
Chile ,3–0, Mexico,1930.0,,,,,,
Argentina ,1–0, France,1930.0,,,,,,
Brazil ,4–0, Bolivia,1930.0,,,,,,
Italy ,1–1 (a.e.t.), Spain,1934.0,,,,,,
Italy ,2–1 (a.e.t.), Czechoslovakia,1934.0,,,,,,
Germany ,3–2, Austria,1934.0,,,,,,
Italy ,1–0, Austria,1934.0,,,,,,
Italy ,1–0, Spain,1934.0,,,,,,
Czechoslovakia ,3–2, Switzerland,1934.0,,,,,,
Germany ,2–1, Sweden,1934.0,,,,,,
Austria ,2–1, Hungary,1934.0,,,,,,
Czechoslovakia ,3–1, Germany,1934.0,,,,,,
Austria ,3–2 (a.e.t.), France,1934.0,,,,,,
Sweden ,3–2, Argentina,1934.0,,,,,,
Czechoslovakia ,2–1, Romania,1934.0,,,,,,
Italy ,7–1, United States,1934.0,,,,,,
Switzerland ,3–2, Netherlands,1934.0,,,,,,
Hungary ,4–2, Egypt,1934.0,,,,,,
Spain ,3–1, Brazil,1934.0,,,,,,
Germany ,5–2, Belgium,1934.0,,,,,,
Sweden ,8–0, Cuba,1938.0,,,,,,
Italy ,3–1, France,1938.0,,,,,,
Brazil ,1–1 (a.e.t.), Czechoslovakia,1938.0,,,,,,
Brazil ,4–2, Sweden,1938.0,,,,,,
Hungary ,5–1, Sweden,1938.0,,,,,,
Italy ,2–1, Brazil,1938.0,,,,,,
Italy ,4–2, Hungary,1938.0,,,,,,
Brazil ,2–1, Czechoslovakia,1938.0,,,,,,
Cuba ,2–1, Romania,1938.0,,,,,,
Hungary ,2–0, Switzerland,1938.0,,,,,,
Czechoslovakia ,3–0 (a.e.t.), Netherlands,1938.0,,,,,,
Brazil ,6–5 (a.e.t.), Poland,1938.0,,,,,,
Italy ,2–1 (a.e.t.), Norway,1938.0,,,,,,
France ,3–1, Belgium,1938.0,,,,,,
Cuba ,3–3 (a.e.t.), Romania,1938.0,,,,,,
Sweden ,w/o[a], Austria,1938.0,,,,,,
Hungary ,6–0, Dutch East Indies,1938.0,,,,,,
Switzerland ,1–1 (a.e.t.), Germany,1938.0,,,,,,
Switzerland ,4–2, Germany,1938.0,,,,,,
Sweden ,2–2, Paraguay,1950.0,,,,,,
Italy ,2–0, Paraguay,1950.0,,,,,,
Uruguay ,8–0, Bolivia,1950.0,,,,,,
Uruguay ,2–2, Spain,1950.0,,,,,,
Uruguay ,2–1, Brazil,1950.0,,,,,,
Brazil ,6–1, Spain,1950.0,,,,,,
Uruguay ,3–2, Sweden,1950.0,,,,,,
Sweden ,3–1, Spain,1950.0,,,,,,
Sweden ,3–2, Italy,1950.0,,,,,,
Brazil ,7–1, Sweden,1950.0,,,,,,
Chile ,5–2, United States,1950.0,,,,,,
Switzerland ,2–1, Mexico,1950.0,,,,,,
